Email,Name,Year,Make,Model,Car_ID,Total,Ranking
"meilert2g@people.com.cn ","Marcel ",2012,"Acura ","Tsx sportwagon ",113,116,1
"wdymocke2f@artisteer.com ","Web ",2008,"Acura ","TL ",112,110,2
"hkamienski2i@howstuffworks.com ","Homerus ",2015,"Acura ","TLX ",50,102,3
"bspinnaceb@homestead.com ","Blane ",2014,"Audi ","S4 ",15,120,1
"gbellwoode@chicagotribune.com ","Greg ",2015,"Audi ","S3 ",18,38,2
"owarrender2k@yahoo.com ","Obidiah ",2008,"Audi ","A4 ",116,28,3
"jmewis1@vistaprint.com ","Jordon ",2016,"Bmw ","M2 ",2,24,1
"abeeres3f@apache.org ","Aurthur ",2014,"Bmw ","4 ",172,22,2
"mbandiera2e@salon.com ","Marlon ",2007,"Bmw ","328i ",111,10,3
"hsolomon44@opensource.org ","Horst ",2010,"Chevy ","Camaro ",218,64,1
"obenstead3e@psu.edu ","Osborn ",2014,"Chevy ","Cruze ",170,50,2
"jgrene0@tinypic.com ","Jordan ",2015,"Chevy ","Camaro ",0,0,3
"aamor43@miibeian.gov.cn ","Asher ",2007,"Chrystler ","300 ",216,96,1
"rgillmory@epa.gov ","Rowney ",2001,"Dodge ","Viper ",42,8,1
"tchapellow2x@addtoany.com ","Tristam ",2017,"Ford ","Focus rs ",137,54,1
"ebyram2m@digg.com ","Elwyn ",2014,"Ford ","Focus st ",120,30,2
"sgaddesby45@xing.com ","Spenser ",2016,"Ford ","Focus rs ",219,26,3
"pjacke1s@theguardian.com ","Palmer ",2014,"Honda ","Accord ",83,112,1
"telfe1e@tripod.com ","Trumaine ",2009,"Honda ","Fit ",65,106,2
"jaaronsono@ezinearticles.com ","Jereme ",2007,"Honda ","Fit ",31,102,3
"qesterbrookn@bandcamp.com ","Quincy ",2012,"Hyundai ","Celoster ",30,66,1
"mvandermarkv@icq.com ","Mill ",2017,"Hyundai ","Elantra sport ",38,62,2
"mjancy1z@privacy.gov.au ","Myles ",2017,"Hyundai ","Elantra sport ",92,30,3
"mbariball2t@slate.com ","Martin ",2010,"Infiniti ","G37 ",128,128,1
"tgoutcher2o@liveinternet.ru ","Terrence ",2011,"Infiniti ","M37s ",122,44,2
"alynamg@blogtalkradio.com ","Aldridge ",2009,"Infiniti ","G37 ",20,38,3
"nlighterness2q@umn.edu ","Noel ",2015,"Jeep ","Wrangler ",124,124,1
"pvidgen2p@ca.gov ","Patrizius ",2006,"Lexus ","Sc430 ",123,66,1
"eguest47@microsoft.com ","Edan ",2015,"Lexus ","Is250 ",222,40,2
"pjanse3w@mozilla.org ","Parker ",1995,"Lexus ","Sc300 ",190,10,3
"bdawltrey16@i2i.jp ","Ber ",2007,"Mazda ","Speed 3 ",52,48,1
"nlidbetter1p@artisteer.com ","Nollie ",2015,"Mazda ","6 ",78,36,2
"dgude30@psu.edu ","Diego ",1993,"Mazda ","Miata ",141,26,3
"yheinerl@altervista.org ","Yvor ",2012,"Mercedes ","C250 ",25,78,1
"okerwood1t@ebay.co.uk ","Orton ",2012,"Mercedes ","Cl63amg ",84,70,2
"gdongated@ca.gov ","Gustavo ",2016,"Mercedes ","C43 ",17,34,3
"cbragginton1y@house.gov ","Coop ",2010,"Mitsu ","Lancer ",91,102,1
"rweathers2z@linkedin.com ","Roger ",1995,"Mitsu ","Evo8 ",140,44,2
"gleggs3i@jiathis.com ","Germaine ",2014,"Mitsu ","Lancer ",176,40,3
"bbach4a@hugedomains.com ","Baillie ",2010,"Nissan ","370 ",228,92,1
"spoon3a@gizmodo.com ","Sheffy ",2012,"Nissan ","370z ",161,84,2
"bpengelly36@ca.gov ","Barbabas ",2011,"Nissan ","370 ",3,84,3
"amabey19@tumblr.com ","Arman ",2015,"Scion ","Frs ",57,80,1
"hlanchbury4d@friendfeed.com ","Huntley ",2013,"Scion ","Frs ",235,20,2
"ogaraghans@huffingtonpost.com ","Ozzy ",2016,"Subaru ","WRX ",36,74,1
"gsemmensp@google.co.uk ","Gideon ",2015,"Subaru ","Sti ",33,68,2
"ariccellih@addthis.com ","Alvis ",2009,"Subaru ","WRX ",21,62,3
"gficken31@jugem.jp ","Giorgio ",1993,"Toyota ","Supra ",142,58,1
"ugozzard2d@spiegel.de ","Ugo ",2011,"Toyota ","Camry ",110,58,2
"ghickinbottomz@usda.gov ","Georgi ",2011,"Toyota ","4 Runner ",43,54,3
"sdaglish2r@timesonline.co.uk ","Stern ",2010,"Volkswagen ","Eos ",126,92,1
"jlewington3m@psu.edu ","Jeromy ",2011,"Volkswagen ","Gti ",180,82,2
"jbrockton37@moonfruit.com ","Jamison ",2014,"Volkswagen ","Gli ",156,56,3
"eambrosoli26@noaa.gov ","Elwin ",2006,"Volvo ","S60r ",100,22,1
